Ranking,Region,Education Index 2022
1,Iceland,0.96
2,Germany,0.957
3,Norway,0.937
4,United Kingdom,0.936
5,Denmark,0.933
6,New Zealand,0.93
6,Finland,0.93
8,Switzerland,0.924
9,Sweden,0.923
9,Australia,0.923
11,Netherlands,0.92
12,Belgium,0.917
13,Slovenia,0.913
14,Palau,0.911
15,United States,0.909
16,Canada,0.908
17,Lithuania,0.906
18,Latvia,0.904
18,United Arab Emirates,0.904
18,Hong Kong,0.904
21,Estonia,0.892
22,Ireland,0.89
23,Georgia,0.887
24,Czech Republic,0.883
25,Marshall Islands,0.882
25,Poland,0.882
27,Greece,0.88
28,South Korea,0.878
29,Argentina,0.87
30,Singapore,0.866
30,Austria,0.866
32,Cyprus,0.863
32,Israel,0.863
34,Saint Kitts and Nevis,0.86
35,Japan,0.854
36,Russia,0.849
37,Malta,0.848
37,Spain,0.848
39,Liechtenstein,0.844
40,Croatia,0.843
41,Slovakia,0.842
42,Montenegro,0.839
43,Chile,0.837
44,France,0.834
45,Luxembourg,0.828
46,Hungary,0.826
47,Kazakhstan,0.824
48,Italy,0.821
49,Bahrain,0.819
49,Saint Vincent and the Grenadines,0.819
51,Tonga,0.816
52,Moldova,0.807
53,Saudi Arabia,0.799
54,Belarus,0.796
55,Turkey,0.793
56,Grenada,0.791
57,Barbados,0.788
58,Portugal,0.787
58,Uruguay,0.787
60,Serbia,0.786
61,South Africa,0.784
62,Romania,0.783
63,Trinidad and Tobago,0.782
64,Antigua and Barbuda,0.781
65,Armenia,0.777
66,Bulgaria,0.766
67,Kyrgyzstan,0.761
68,Seychelles,0.759
69,Oman,0.758
70,Bahamas,0.754
71,Cuba,0.753
72,Sri Lanka,0.751
73,Iran,0.748
74,Peru,0.744
75,Bolivia,0.743
76,Andorra,0.742
77,Costa Rica,0.741
78,Albania,0.739
78,Mauritius,0.739
78,Ukraine,0.739
81,Turkmenistan,0.737
82,Fiji,0.73
82,Uzbekistan,0.73
84,Thailand,0.727
85,Samoa,0.724
86,Panama,0.723
87,Bosnia and Herzegovina,0.719
88,Mongolia,0.716
89,Malaysia,0.715
90,Ecuador,0.714
91,Brazil,0.71
92,Mexico,0.709
93,Azerbaijan,0.706
93,Qatar,0.706
95,North Macedonia,0.701
96,Colombia,0.697
96,Palestine,0.697
96,Jordan,0.697
99,Venezuela,0.695
100,San Marino,0.694
101,China,0.692
102,Tuvalu,0.689
103,Brunei,0.687
104,Egypt,0.685
105,Dominican Republic,0.684
105,Dominica,0.684
107,Kuwait,0.683
107,Paraguay,0.683
109,Tajikistan,0.679
110,Indonesia,0.676
111,Tunisia,0.672
112,Gabon,0.664
112,Algeria,0.664
114,Botswana,0.663
115,Nauru,0.657
116,Philippines,0.656
117,Jamaica,0.654
118,Libya,0.649
119,Guyana,0.648
120,Vietnam,0.647
121,Saint Lucia,0.639
122,Belize,0.638
123,Kiribati,0.631
124,Lebanon,0.623
125,Republic of the Congo,0.621
126,Equatorial Guinea,0.613
127,Morocco,0.609
128,Eswatini,0.604
129,Maldives,0.599
129,Zimbabwe,0.599
131,Nicaragua,0.593
131,Micronesia,0.593
133,Cameroon,0.589
134,Suriname,0.586
135,Bangladesh,0.577
136,Kenya,0.573
137,El Salvador,0.571
138,India,0.57
139,Vanuatu,0.568
139,Comoros,0.568
139,Namibia,0.568
142,Timor Leste,0.567
143,Iraq,0.566
144,Lesotho,0.558
145,Bhutan,0.557
146,Myanmar,0.553
147,Zambia,0.549
147,Sao Tome and Principe,0.549
149,Togo,0.548
150,Nigeria,0.545
151,Ghana,0.536
152,Angola,0.532
153,Uganda,0.526
154,Cape Verde,0.523
155,Honduras,0.521
156,DR Congo,0.507
157,Nepal,0.5
158,Cambodia,0.496
159,Haiti,0.495
160,Malawi,0.493
161,Guatemala,0.49
162,Solomon Islands,0.483
163,Laos,0.48
163,Rwanda,0.48
165,Papua New Guinea,0.472
166,Liberia,0.468
167,Mozambique,0.427
168,Tanzania,0.426
169,Ivory Coast,0.421
170,Guinea Bissau,0.415
171,Madagascar,0.409
172,Gambia,0.4
173,Syria,0.396
174,Benin,0.389
175,Burundi,0.388
176,Mauritania,0.385
177,Afghanistan,0.381
178,Eritrea,0.373
179,Sierra Leone,0.367
180,Pakistan,0.366
180,Sudan,0.366
182,Guinea,0.363
183,Ethiopia,0.355
184,Djibouti,0.352
185,Senegal,0.349
186,South Sudan,0.346
187,Central African Republic,0.336
188,Yemen,0.313
189,Chad,0.304
190,Burkina Faso,0.302
191,Somalia,0.274
192,Mali,0.248
193,Niger,0.243